devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,5.920800,0.041394,3031.449391,21.193874,3978.777416,106007640.000000,6784488960.000000
rxCtr,5.925833,0.004936,3034.026636,2.536256,3982.159879,105923856.000000,6779126784.000000
