devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,8.503209,0.041312,4353.642802,21.152001,5714.156287,177761009.000000,11376704576.000000
rxCtr,8.512646,0.000348,4358.474763,0.174308,5720.498050,177620879.000000,11367736256.000000
