devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,8.444105,0.045063,4323.381062,23.072790,5674.437804,151639293.000000,9704914752.000000
rxCtr,8.455306,0.000336,4329.116666,0.178405,5681.965624,151639290.000000,9704914560.000000
