devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,6.470390,0.045486,3312.839245,23.288627,4348.101619,115716608.000000,7405862912.000000
rxCtr,6.478753,0.007814,3317.121870,4.000625,4353.722364,115404339.000000,7385877696.000000
