devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,8.553285,0.042346,4379.281761,21.681038,5747.807388,176413692.000000,11290476288.000000
rxCtr,8.538319,0.001958,4371.619610,1.009208,5737.750671,175911462.000000,11258333568.000000
