devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,10.406188,0.050638,5327.967537,25.926785,6992.957552,216921515.000000,13882976960.000000
rxCtr,10.363299,0.000851,5306.009544,0.437798,6964.137450,215579451.000000,13797084864.000000
