devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,14.865090,0.071812,7610.925388,36.767821,9989.339763,313021174.000000,20033355136.000000
rxCtr,10.334335,0.001223,5291.179644,0.621977,6944.673211,217382331.000000,13912469184.000000
