devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,14.864872,0.071065,7610.814065,36.385554,9989.193621,305293344.000000,19538774016.000000
rxCtr,8.488524,0.002412,4346.124288,1.233402,5704.288129,173991099.000000,11135430336.000000
