devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,10.119169,0.050308,5181.014105,25.757952,6800.081156,212231515.000000,13582816960.000000
rxCtr,6.721065,0.002909,3441.185053,1.488230,4516.555382,140820155.000000,9012489920.000000
