devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,14.863749,0.073702,7610.238630,37.735268,9988.438432,296908129.000000,19002120256.000000
rxCtr,10.392275,0.005765,5320.844877,2.948804,6983.608821,207353787.000000,13270642368.000000
