devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,14.863313,0.075392,7610.015396,38.600776,9988.145447,297097749.000000,19014255936.000000
rxCtr,8.498374,0.001550,4351.167539,0.790945,5710.907395,169689275.000000,10860113600.000000
