devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,0.990097,0.004805,506.929627,2.460219,665.345145,17662798.000000,1130419072.000000
rxCtr,0.991359,0.000464,507.575743,0.237698,666.193153,17662795.000000,1130418880.000000
