devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,14.864358,0.072904,7610.550839,37.326886,9988.848170,309933646.000000,19835753344.000000
rxCtr,9.371358,0.001581,4798.135371,0.825609,6297.552675,195185595.000000,12491878080.000000
