# started on Sun Jan 13 17:56:56 2019

97006100;;branch-instructions;8802979;7.68;;
930903;;branch-misses;14490998;12.66;0.96;of all branches
638;;cache-misses;23625676;100.00;0.255;of all cache refs
61510420;;ref-cycles;35044214;100.00;;
250682;;cache-references;44062126;90.78;;
473954;;L1-dcache-load-misses;44811474;75.56;0.86;of all L1-dcache hits
54803201;;L1-dcache-loads;21507609;30.71;;
221689;;L1-dcache-store-misses;19667106;24.90;;
25520845;;L1-dcache-stores;18104693;20.54;;
287;;LLC-load-misses;19546708;19.84;0.11;of all LL-cache hits
266063;;LLC-loads;17118883;16.26;;
252;;LLC-store-misses;11843867;10.73;;
13308;;LLC-stores;9306762;8.12;;
948285;;branch-load-misses;9306762;8.12;;
98853876;;branch-loads;9306762;8.12;;
