# started on Sun Jan 13 18:29:11 2019

86798368;;branch-instructions;13617682;13.06;;
834048;;branch-misses;10185941;9.77;0.96;of all branches
448;;cache-misses;10047514;100.00;0.287;of all cache refs
28272480;;ref-cycles;16349713;100.00;;
155852;;cache-references;24495733;93.63;;
280608;;L1-dcache-load-misses;27706311;83.29;0.95;of all L1-dcache hits
29412055;;L1-dcache-loads;10796825;29.21;;
156087;;L1-dcache-store-misses;12253829;26.92;;
16632122;;L1-dcache-stores;18359088;33.19;;
687;;LLC-load-misses;24459075;34.95;0.28;of all LL-cache hits
243161;;LLC-loads;26354181;32.27;;
103;;LLC-store-misses;22467163;24.30;;
13090;;LLC-stores;17953952;18.02;;
855061;;branch-load-misses;22580892;21.66;;
88011188;;branch-loads;22580892;21.66;;
