# started on Sun Jan 13 17:41:36 2019

93420531;;branch-instructions;31916332;29.14;;
900728;;branch-misses;18692883;17.07;0.96;of all branches
3731;;cache-misses;11127922;10.16;0.630;of all cache refs
192790565;;ref-cycles;17283157;15.78;;
592604;;cache-references;19654280;17.96;;
229554;;L1-dcache-load-misses;27117065;97.75;0.89;of all L1-dcache hits
25694992;;L1-dcache-loads;12147224;38.20;;
75811;;L1-dcache-store-misses;5626622;16.86;;
11446445;;L1-dcache-stores;7753649;19.60;;
254;;LLC-load-misses;21316010;38.98;0.13;of all LL-cache hits
195491;;LLC-loads;29749463;42.93;;
342;;LLC-store-misses;23562035;30.11;;
12530;;LLC-stores;24788810;26.34;;
901857;;branch-load-misses;39916445;36.55;;
93458187;;branch-loads;40233448;36.73;;
