devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,9.755321,0.046244,4994.724143,23.677359,6555.575514,203382156.000000,13016457984.000000
rxCtr,9.385593,0.000815,4805.424010,0.417260,6307.118921,195461074.000000,12509508736.000000
