devDesc,mpps_avg,mpps_stdDev,mbit_avg,mbit_stdDev,wirembit_avg,bytes_total,packets_total
txCtr,10.188650,0.054753,5216.588324,28.033217,6846.772325,181460354.000000,11613462656.000000
rxCtr,6.773225,0.001292,3467.891520,0.668187,4551.607530,120475794.000000,7710450816.000000
